                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  1.346,                0.84758,                 1.6637,                0.88365,                0.94737,                0.97681,                0.57224,                  1.394,                0.94956,                 1.7939,              0.0018099,              0.0018099,              0.0018099
                     51,                  1.261,                0.81156,                  1.618,                0.94099,                0.94737,                 0.9863,                0.58122,                 1.4316,                0.91435,                  1.695,               0.001806,               0.001806,               0.001806
                     52,                 1.2794,                0.81794,                 1.6356,                0.94489,                0.90284,                0.98367,                0.61452,                 1.4321,                0.87736,                 1.6207,               0.001802,               0.001802,               0.001802
                     53,                 1.2651,                0.84964,                  1.618,                0.94969,                0.99389,                 0.9925,                0.64507,                 1.2962,                0.84753,                 1.6556,               0.001798,               0.001798,               0.001798
                     54,                 1.2239,                0.80128,                 1.5764,                      1,                0.94057,                0.99024,                0.62807,                 1.3457,                0.87318,                 1.6514,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.2195,                0.79743,                 1.6285,                0.94115,                      1,                 0.9925,                0.66927,                  1.273,                0.80158,                 1.5804,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.2099,                0.77858,                 1.7065,                0.91542,                      1,                   0.99,                 0.6534,                 1.3481,                0.78999,                 1.6417,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.1852,                0.76681,                 1.6349,                0.93545,                      1,                   0.99,                0.63164,                 1.3514,                0.83013,                 1.7077,              0.0017822,              0.0017822,              0.0017822
                     58,                  1.185,                0.76478,                 1.5604,                0.94955,                0.99105,                 0.9875,                0.63613,                 1.3689,                0.84393,                 1.8019,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.2054,                0.76373,                 1.5871,                0.89796,                      1,                0.98761,                0.62379,                 1.3233,                0.84229,                 1.6621,              0.0017743,              0.0017743,              0.0017743
                     60,                  1.235,                 0.7796,                 1.5943,                 0.9456,                      1,                 0.9845,                0.59624,                 1.3761,                0.88277,                 1.6697,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.2488,                0.78324,                 1.5896,                0.92722,                0.94737,                0.94909,                0.57993,                  1.489,                0.85971,                 1.6664,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.2646,                0.80904,                 1.5552,                0.98697,                0.94737,                 0.9925,                0.62636,                 1.3416,                0.82944,                 1.6368,              0.0017624,              0.0017624,              0.0017624
                     63,                  1.199,                0.78696,                 1.5447,                0.99225,                      1,                  0.995,                0.66434,                  1.245,                0.83494,                  1.593,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.2106,                0.79289,                 1.5691,                0.98579,                      1,                  0.995,                0.61682,                 1.3114,                0.82726,                 1.5608,              0.0017545,              0.0017545,              0.0017545
                     65,                  1.172,                0.76443,                 1.5239,                0.93132,                      1,                 0.9925,                0.60064,                 1.4031,                0.83663,                 1.6822,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.1962,                0.76747,                 1.5853,                0.95399,                      1,                  0.995,                0.56349,                 1.3213,                0.84223,                 1.6476,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.2011,                0.78295,                 1.5234,                0.90854,                      1,                 0.9925,                 0.6169,                 1.4089,                 0.8309,                 1.6953,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.1922,                0.76681,                 1.5903,                0.92357,                      1,                 0.9875,                0.63149,                 1.2854,                0.81742,                 1.6212,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.1798,                0.76339,                 1.6418,                0.94974,                0.99487,                  0.974,                0.57742,                 1.3292,                0.83744,                 1.6074,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.1848,                0.74268,                 1.5936,                0.89534,                      1,                0.98761,                0.64769,                 1.2366,                0.82926,                 1.6171,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.1439,                0.71621,                 1.5186,                0.89075,                      1,                0.98071,                0.66779,                 1.2337,                0.83932,                 1.7126,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.1667,                0.73492,                 1.5527,                0.84759,                      1,                 0.9514,                0.60952,                 1.2286,                0.78616,                 1.7794,              0.0017228,              0.0017228,              0.0017228
                     73,                  1.151,                0.74505,                 1.5684,                0.85646,                      1,                0.97525,                0.63761,                  1.265,                0.86887,                 1.8155,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.1105,                 0.7298,                 1.5406,                0.94169,                      1,                   0.99,                0.64253,                 1.2537,                0.82173,                 1.6795,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.0852,                0.69801,                 1.4998,                      1,                0.99358,                  0.995,                0.67259,                  1.249,                0.78273,                 1.5703,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.1711,                0.72621,                  1.623,                0.99136,                      1,                  0.995,                0.68519,                 1.3705,                0.78263,                 1.5028,               0.001707,               0.001707,               0.001707
                     77,                 1.1809,                 0.7185,                 1.5196,                0.99265,                      1,                  0.995,                0.65948,                 1.3801,                0.80433,                 1.4538,               0.001703,               0.001703,               0.001703
                     78,                 1.1571,                0.72163,                 1.5506,                  0.942,                0.94737,                0.94325,                0.64816,                 1.3587,                0.87702,                 1.4985,               0.001699,               0.001699,               0.001699
                     79,                 1.1785,                0.75188,                 1.5443,                0.94506,                      1,                 0.9925,                0.62684,                 1.2133,                0.85622,                 1.5712,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.1605,                0.76898,                 1.5237,                0.91872,                      1,                 0.9875,                0.66024,                 1.1547,                0.81973,                 1.5675,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.1941,                0.74187,                 1.4999,                0.81855,                      1,                0.97027,                0.59843,                 1.3302,                0.86039,                 1.6666,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.1748,                0.76742,                 1.5305,                 0.8631,                0.94737,                0.97465,                0.55078,                 1.3519,                0.84305,                 1.6196,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.2091,                0.75739,                 1.5775,                0.83375,                0.94737,                0.94084,                0.61853,                 1.3284,                0.81122,                 1.7236,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.1118,                 0.7312,                 1.4755,                0.90178,                      1,                0.98761,                0.66065,                 1.2812,                0.80512,                 1.7081,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.1233,                0.71977,                  1.535,                0.89653,                0.89474,                0.98318,                0.60017,                 1.4275,                0.89166,                 1.7498,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.1107,                 0.7137,                  1.479,                0.94616,                      1,                   0.99,                 0.6539,                 1.2463,                0.87129,                 1.6435,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.0319,                0.69936,                 1.4579,                0.90384,                      1,                0.98761,                0.66171,                  1.234,                0.87026,                 1.6321,              0.0016634,              0.0016634,              0.0016634
